GlobalId,Name,Pset_PCL.PCL ID,Pset_SmartPlant 3D.Description,Pset_SmartPlant 3D.Location,X,Y,Z
0gi9GNklz8SuAg7vmvqMEh,Insulation Volume,403013ba-debe-488b-b258-c0315deae177,"90o elbow, 150 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 124981 mm          N 294192 mm          EL+ 1650 mm,124.981,294.192,1.65
2vEMDMd8z9xfQHlbuZYpai,Geometry,7d0389a0-4f49-43ec-8838-63adb303d72f,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 124981 mm          N 294192 mm          EL+ 1339 mm,124.981,294.192,1.339
2Ca0MXIfj9BefUpBJb_Zx0,Insulation Volume,7749aee2-bc30-4cae-9e24-cf9c57aa24e8,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 124981 mm          N 294192 mm          EL+ 1339 mm,124.981,294.192,1.339
1jpS8HRXf5afbTZq6zJN0S,Geometry,02b0370c-c788-4532-8ecd-2dab061ab6fe,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125284 mm          N 294192 mm          EL+ 1650 mm,125.284,294.192,1.65
3E1UigqHfDBRH7BrRPvFvM,Insulation Volume,2f179ef9-3075-4789-a22a-7ebd43af38df,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125284 mm          N 294192 mm          EL+ 1650 mm,125.284,294.192,1.65
3r9pzF3Fz35hjKRvtpQh7Q,Geometry,39b84f0f-c6d8-49b4-922d-421278d1332a,"90o elbow, 150 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 124981 mm          N 285638 mm          EL+ 1650 mm,124.981,285.638,1.65
3TMhbVDP1B4gK3MtsWfT6G,Insulation Volume,581f2d1c-c111-47a4-ac68-7e879882a221,"90o elbow, 150 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 124981 mm          N 285638 mm          EL+ 1650 mm,124.981,285.638,1.65
2lETrZLgz3SwD9xRsAtNRv,Geometry,1ee35a74-b871-467b-a7b3-f8f8684f8755,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125284 mm          N 285638 mm          EL+ 1650 mm,125.284,285.638,1.65
3y2zV$Gz15LgUNnig2tZBm,Insulation Volume,ca6284e7-b673-42bb-873e-9de5a503ed96,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125284 mm          N 285638 mm          EL+ 1650 mm,125.284,285.638,1.65
2ecSJtz4L8uPCUsA6SKNqc,Geometry,22cb426f-4656-4de1-9a81-5e0ecd082536,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 124981 mm          N 285638 mm          EL+ 1339 mm,124.981,285.638,1.339
1ZOmsE_SHB4wByIbSFcysc,Insulation Volume,f97181b4-a264-41f7-b0ed-03bf41c715f1,"Pipe stock, 150 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 124981 mm          N 285638 mm          EL+ 1339 mm,124.981,285.638,1.339
3CgJZP7an5Dva$F2717_6l,Geometry,e452a48a-2d4c-47a9-9b79-3ca231338256,SEE INSTRUMENT SUMMARY,E 125929 mm          N 290740 mm          EL+ 2283 mm,125.929,290.74,2.283
3MVSUFv6n4jADE7NbUaIqi,Geometry,bd9cbbe1-a0f5-4e47-a78c-b4a590497e05,"Weld neck flange, 100 mm, RFFE/BE, Class 150, ASME-B16.5, ASTM A350-LF2",E 125929 mm          N 290772 mm          EL+ 2283 mm,125.929,290.772,2.283
2Zxgb7yMb0ngU4OlsSVjZR,Insulation Volume,83ea6c00-1e76-4382-a219-17dfa944a73e,"Weld neck flange, 100 mm, RFFE/BE, Class 150, ASME-B16.5, ASTM A350-LF2",E 125929 mm          N 290772 mm          EL+ 2283 mm,125.929,290.772,2.283
2HRRLeU$H6GgWNvyAgHVCz,Geometry,d06cf3c5-e3ac-483e-b39a-791629d4ff89,"Weld neck flange, 100 mm, RFFE/BE, Class 150, ASME-B16.5, ASTM A350-LF2",E 125929 mm          N 290709 mm          EL+ 2283 mm,125.929,290.709,2.283
2GGq1NfxT8OBVCbvTGoxir,Insulation Volume,9d1678b6-6a91-4bd0-b9ac-57a462114011,"Weld neck flange, 100 mm, RFFE/BE, Class 150, ASME-B16.5, ASTM A350-LF2",E 125929 mm          N 290709 mm          EL+ 2283 mm,125.929,290.709,2.283
2rJwJ3PMDEqwUsqyV8G79t,Geometry,e383ebf1-44fa-4abf-bc21-4b2247319db7,"90o elbow, 100 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 125929 mm          N 293049 mm          EL+ 2283 mm,125.929,293.049,2.283
00YWHjMx50LvVKQqkvG2$o,Insulation Volume,fd53565a-f20a-4d64-ba08-f82184b5868d,"90o elbow, 100 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 125929 mm          N 293049 mm          EL+ 2283 mm,125.929,293.049,2.283
16E9jD7Lz5yenELq17CU6J,Geometry,8c00e9cf-0816-4d5c-a265-804ed2e117f9,"90o elbow, 100 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 125929 mm          N 292449 mm          EL+ 2809 mm,125.929,292.449,2.809
0x5MHBFw15aQFsnTk81ZAX,Insulation Volume,cf82b6a5-6788-41ef-8ead-9d22daf70269,"90o elbow, 100 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 125929 mm          N 292449 mm          EL+ 2809 mm,125.929,292.449,2.809
1QcjCcXJ5EVeP2qOdr5hdV,Geometry,6d4df311-cb5d-4d8e-aa07-0755fa14d5b1,"90o elbow, 100 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 125929 mm          N 293049 mm          EL+ 2809 mm,125.929,293.049,2.809
0vO4SIHmL7GeDoFqCyjbVf,Insulation Volume,93db8d2d-f440-47ee-bdbc-b0bc5cd2c9a8,"90o elbow, 100 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 125929 mm          N 293049 mm          EL+ 2809 mm,125.929,293.049,2.809
1itUQzjWH4XOAMHr7KAv94,Geometry,4f720547-7b81-4a9d-bace-27e126179b6e,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125929 mm          N 293049 mm          EL+ 2546 mm,125.929,293.049,2.546
0z5tXKmO9ATflhODwo4Btf,Insulation Volume,2d24f6ef-c1f0-467f-803a-89a953b8f951,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125929 mm          N 293049 mm          EL+ 2546 mm,125.929,293.049,2.546
3UtjJrLEb7LQyAVg453L53,Geometry,7e06038f-2e41-49e7-8e72-d7c2fd8ea12c,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125929 mm          N 291871 mm          EL+ 2283 mm,125.929,291.871,2.283
18lrtcOmX50fT3ZhL3SUMJ,Insulation Volume,831b5c2d-93fc-461f-957b-907627358de4,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125929 mm          N 291871 mm          EL+ 2283 mm,125.929,291.871,2.283
0_I2aqJHv39OC3450Rr1HU,Geometry,03d654f6-9a26-425c-b0ff-ac2988e73179,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125632 mm          N 292449 mm          EL+ 2809 mm,125.632,292.449,2.809
3lObPXQGL6FPFlCVaJ0bLO,Insulation Volume,05a7b8e3-a93a-4b28-9e9c-bdcea124edcf,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125632 mm          N 292449 mm          EL+ 2809 mm,125.632,292.449,2.809
2NLbjdZ$b3axw8uz4bMem7,Geometry,3aa044e3-2ad0-4396-ab84-0176beaab829,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125929 mm          N 292749 mm          EL+ 2809 mm,125.929,292.749,2.809
2Zr2LDbRn5QugGHQ1cHp3l,Insulation Volume,71433689-48f3-413d-bddd-ed11eceb17d1,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125929 mm          N 292749 mm          EL+ 2809 mm,125.929,292.749,2.809
3Mfr4TPlX4fBSJp0z837tH,Geometry,89bf2109-1013-461d-8b29-99a49a40cc06,"90o elbow, 100 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 125929 mm          N 286780 mm          EL+ 2283 mm,125.929,286.78,2.283
3ZQtvJ3gnFQg2SPTHgGMCY,Insulation Volume,e6fa9484-91fa-440e-8a81-13f692501a58,"90o elbow, 100 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 125929 mm          N 286780 mm          EL+ 2283 mm,125.929,286.78,2.283
2fizyBqXD5FRKNdFILn5MD,Geometry,8e0c8169-daaa-4bfa-8335-bac37894bd1c,"90o elbow, 100 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 125929 mm          N 287380 mm          EL+ 2809 mm,125.929,287.38,2.809
05Y8kiXr19SuStQbXKY$uT,Insulation Volume,5e2dc2b4-e606-4dc3-abec-812ea541335e,"90o elbow, 100 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 125929 mm          N 287380 mm          EL+ 2809 mm,125.929,287.38,2.809
2NDHXvVOX3b90W9dbZAJNp,Geometry,ef6e00c0-a9cc-4e82-85be-061c5e1f63dd,"90o elbow, 100 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 125929 mm          N 286780 mm          EL+ 2809 mm,125.929,286.78,2.809
2AaoPcjo50C9bKvLgDG2Nu,Insulation Volume,ce71c85c-cbce-4cc0-82d2-7c51f2004c55,"90o elbow, 100 mm, BE, ASME-B16.9, ASTM A420-WPL6",E 125929 mm          N 286780 mm          EL+ 2809 mm,125.929,286.78,2.809
0cd5snPpj9OubK_evAq54w,Geometry,7f903530-0e0f-42e9-a90e-da9479d4c953,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125929 mm          N 288783 mm          EL+ 2283 mm,125.929,288.783,2.283
2xDVeq8EbDuP5PdTlCGysQ,Insulation Volume,1d248f59-6451-47d6-8898-56fc066205c3,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125929 mm          N 288783 mm          EL+ 2283 mm,125.929,288.783,2.283
38gANHOMjB8RV2Fv1OlSSy,Geometry,06264dff-7a5c-454b-b3d7-d25a4aa0982e,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125632 mm          N 287380 mm          EL+ 2809 mm,125.632,287.38,2.809
27HXQTdc58xAhc4rZDYtGG,Insulation Volume,6cefc132-2f79-4e7b-bb7c-0f6bba1ccfd2,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125632 mm          N 287380 mm          EL+ 2809 mm,125.632,287.38,2.809
1UEPyBSNP8URPD$Cp23UYE,Geometry,01575643-af72-490d-95b9-909770c7d864,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125929 mm          N 287080 mm          EL+ 2809 mm,125.929,287.08,2.809
0prjwnKHL2TOCL0HcFtGKF,Insulation Volume,03ca908d-2669-4051-b77a-82a146471fb2,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125929 mm          N 287080 mm          EL+ 2809 mm,125.929,287.08,2.809
2CXc732OjDBAgKPxw11sUc,Geometry,bbe8e91c-016d-4f66-8476-25c7fdd24eeb,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125929 mm          N 286780 mm          EL+ 2546 mm,125.929,286.78,2.546
0CBBseqNTF4BHCKV8ITO0g,Insulation Volume,f4e65972-b98e-44c7-a430-684afddfd762,"Pipe stock, 100 mm, BE, S-STD, ASME-B36.10M, ASTM A333-6, Seamless",E 125929 mm          N 286780 mm          EL+ 2546 mm,125.929,286.78,2.546
0h8xcV3eP2agQ03HsnUnDa,C064_W12x16-100-1-C1,e056352c-ac9a-41ac-8015-afbc5ae3e2ae,,,,,
